agg_code,instance,longitude,latitude,arrondissement,rue_1,rue_2,numeroVoie,direction,periode,volume,vitesseMoyenne
m,det-00399-02,-73.56298671,45.49541721,Le Sud-Ouest,Notre-Dame,Peel,2,Nord,2026-02-01 00:00:00-05:00,2494,16.733038940184663
m,det-00399-02,-73.56298671,45.49541721,Le Sud-Ouest,Notre-Dame,Peel,2,Nord,2026-03-01 00:00:00-05:00,2413,17.795119899032393
m,det-00399-02,-73.56298671,45.49541721,Le Sud-Ouest,Notre-Dame,Peel,2,Nord,2026-04-01 00:00:00-04:00,3737,18.012325830653804
m,det-00399-02,-73.56298671,45.49541721,Le Sud-Ouest,Notre-Dame,Peel,2,Nord,2026-05-01 00:00:00-04:00,16710,18.91430454845089
m,det-00401-01,-73.558916,45.493823,Le Sud-Ouest,Ottawa,Peel,3,Nord,2025-06-01 00:00:00-04:00,9317,
m,det-00401-01,-73.558916,45.493823,Le Sud-Ouest,Ottawa,Peel,3,Nord,2025-07-01 00:00:00-04:00,10472,
m,det-00401-01,-73.558916,45.493823,Le Sud-Ouest,Ottawa,Peel,3,Nord,2025-08-01 00:00:00-04:00,15984,
m,det-00401-01,-73.558916,45.493823,Le Sud-Ouest,Ottawa,Peel,3,Nord,2025-09-01 00:00:00-04:00,21118,
m,det-00401-01,-73.558916,45.493823,Le Sud-Ouest,Ottawa,Peel,3,Nord,2025-10-01 00:00:00-04:00,14945,
m,det-00401-01,-73.558916,45.493823,Le Sud-Ouest,Ottawa,Peel,3,Nord,2025-11-01 00:00:00-04:00,6451,
m,det-00401-01,-73.558916,45.493823,Le Sud-Ouest,Ottawa,Peel,3,Nord,2025-12-01 00:00:00-05:00,2593,
m,det-00401-01,-73.558916,45.493823,Le Sud-Ouest,Ottawa,Peel,3,Nord,2026-01-01 00:00:00-05:00,1333,
m,det-00401-01,-73.558916,45.493823,Le Sud-Ouest,Ottawa,Peel,3,Nord,2026-02-01 00:00:00-05:00,1961,
m,det-00401-01,-73.558916,45.493823,Le Sud-Ouest,Ottawa,Peel,3,Nord,2026-03-01 00:00:00-05:00,1973,
m,det-00401-01,-73.558916,45.493823,Le Sud-Ouest,Ottawa,Peel,3,Nord,2026-04-01 00:00:00-04:00,3200,
m,det-00401-01,-73.558916,45.493823,Le Sud-Ouest,Ottawa,Peel,3,Nord,2026-05-01 00:00:00-04:00,11258,
m,det-00401-02,-73.558396,45.493701,Le Sud-Ouest,Ottawa,Peel,2,Sud,2025-06-01 00:00:00-04:00,18874,
m,det-00401-02,-73.558396,45.493701,Le Sud-Ouest,Ottawa,Peel,2,Sud,2025-07-01 00:00:00-04:00,23655,
m,det-00401-02,-73.558396,45.493701,Le Sud-Ouest,Ottawa,Peel,2,Sud,2025-08-01 00:00:00-04:00,29803,
m,det-00401-02,-73.558396,45.493701,Le Sud-Ouest,Ottawa,Peel,2,Sud,2025-09-01 00:00:00-04:00,31117,
m,det-00401-02,-73.558396,45.493701,Le Sud-Ouest,Ottawa,Peel,2,Sud,2025-10-01 00:00:00-04:00,20914,
m,det-00401-02,-73.558396,45.493701,Le Sud-Ouest,Ottawa,Peel,2,Sud,2025-11-01 00:00:00-04:00,7791,
m,det-00401-02,-73.558396,45.493701,Le Sud-Ouest,Ottawa,Peel,2,Sud,2025-12-01 00:00:00-05:00,2449,
m,det-00401-02,-73.558396,45.493701,Le Sud-Ouest,Ottawa,Peel,2,Sud,2026-01-01 00:00:00-05:00,1380,
m,det-00401-02,-73.558396,45.493701,Le Sud-Ouest,Ottawa,Peel,2,Sud,2026-02-01 00:00:00-05:00,1903,
m,det-00401-02,-73.558396,45.493701,Le Sud-Ouest,Ottawa,Peel,2,Sud,2026-03-01 00:00:00-05:00,2054,
m,det-00401-02,-73.558396,45.493701,Le Sud-Ouest,Ottawa,Peel,2,Sud,2026-04-01 00:00:00-04:00,4838,
m,det-00401-02,-73.558396,45.493701,Le Sud-Ouest,Ottawa,Peel,2,Sud,2026-05-01 00:00:00-04:00,16909,
m,det-00402-01,-73.565945,45.496564,Ville-Marie,Peel,Saint-Antoine,2,Nord,2025-06-01 00:00:00-04:00,19389,14.916215240158902
m,det-00402-01,-73.565945,45.496564,Ville-Marie,Peel,Saint-Antoine,2,Nord,2025-07-01 00:00:00-04:00,24957,14.717600384707865
m,det-00402-01,-73.565945,45.496564,Ville-Marie,Peel,Saint-Antoine,2,Nord,2025-08-01 00:00:00-04:00,25686,14.75675780945704
m,det-00402-01,-73.565945,45.496564,Ville-Marie,Peel,Saint-Antoine,2,Nord,2025-09-01 00:00:00-04:00,31203,15.19458973783012
m,det-00402-01,-73.565945,45.496564,Ville-Marie,Peel,Saint-Antoine,2,Nord,2025-10-01 00:00:00-04:00,27639,12.612338156892612
m,det-00402-01,-73.565945,45.496564,Ville-Marie,Peel,Saint-Antoine,2,Nord,2025-11-01 00:00:00-04:00,8545,12.17281484962406
m,det-00402-01,-73.565945,45.496564,Ville-Marie,Peel,Saint-Antoine,2,Nord,2026-04-01 00:00:00-04:00,107,11.77570093457944
m,det-00402-01,-73.565945,45.496564,Ville-Marie,Peel,Saint-Antoine,2,Nord,2026-05-01 00:00:00-04:00,22025,11.733739929907603
m,det-00402-02,-73.566559,45.496712,Ville-Marie,Peel,Saint-Antoine,2,Sud,2025-06-01 00:00:00-04:00,26571,20.804471376416124
m,det-00402-02,-73.566559,45.496712,Ville-Marie,Peel,Saint-Antoine,2,Sud,2025-07-01 00:00:00-04:00,33379,20.653442799784266
m,det-00402-02,-73.566559,45.496712,Ville-Marie,Peel,Saint-Antoine,2,Sud,2025-08-01 00:00:00-04:00,43331,20.810574415545453
m,det-00402-02,-73.566559,45.496712,Ville-Marie,Peel,Saint-Antoine,2,Sud,2025-09-01 00:00:00-04:00,45304,20.54723644711284
m,det-00402-02,-73.566559,45.496712,Ville-Marie,Peel,Saint-Antoine,2,Sud,2025-10-01 00:00:00-04:00,32911,16.900094193430768
m,det-00402-02,-73.566559,45.496712,Ville-Marie,Peel,Saint-Antoine,2,Sud,2025-11-01 00:00:00-04:00,13596,16.63047955280965
m,det-00402-02,-73.566559,45.496712,Ville-Marie,Peel,Saint-Antoine,2,Sud,2025-12-01 00:00:00-05:00,3201,15.870977819431427
